"SeatIndex","STATE","CONSTITUENCY","NAME","WINNER","PARTY","SYMBOL","GENDER","CRIMINAL.CASES","AGE","CATEGORY","EDUCATION","ASSETS","LIABILITIES","GENERAL.VOTES","POSTAL.VOTES","TOTAL.VOTES","OVER.TOTAL.ELECTORS..IN.CONSTITUENCY","OVER.TOTAL.VOTES.POLLED..IN.CONSTITUENCY","TOTAL.ELECTORS"
1,"Telangana","ADILABAD","SOYAM BAPU RAO",1,"BJP","Lotus","MALE",0,52,"ST","12th Pass","Rs 30,99,414
 ~ 30 Lacs+","Rs 2,31,450
 ~ 2 Lacs+",376892,482,377374,25.33068419,35.4682479,1489790
2,"Uttar Pradesh","AGRA","Satyapal Singh Baghel",1,"BJP","Lotus","MALE",0,58,"SC","Doctorate","Rs 7,42,74,036
 ~ 7 Crore+","Rs 86,06,522
 ~ 86 Lacs+",644459,2416,646875,33.38382301,56.46461464,1937690
3,"Maharashtra","AHMADNAGAR","Dr. SUJAY RADHAKRISHNA VIKHEPATIL",1,"BJP","Lotus","MALE",0,37,"GENERAL","Doctorate","Rs 16,86,64,576
 ~ 16 Crore+","Rs 26,23,964
 ~ 26 Lacs+",696961,7699,704660,37.85653348,58.42515898,1861396
4,"Gujarat","AHMEDABAD EAST","Patel Hasmukhbhai Somabhai",1,"BJP","Lotus","MALE",0,58,"GENERAL","Others","Rs 7,46,99,690
 ~ 7 Crore+","Rs 62,52,577
 ~ 62 Lacs+",745810,4024,749834,41.3849704,67.00546171,1811851
5,"Gujarat","AHMEDABAD WEST","DR. KIRIT P. SOLANKI",1,"BJP","Lotus","MALE",0,69,"SC","Post Graduate","Rs 8,94,74,039
 ~ 8 Crore+","Rs 0
 ~",638241,3381,641622,39.04432316,64.21145018,1643317
6,"Rajasthan","AJMER","Bhagirath Chaudhary",1,"BJP","Lotus","MALE",0,64,"GENERAL","12th Pass","Rs 8,51,01,774
 ~ 8 Crore+","Rs 83,19,942
 ~ 83 Lacs+",811091,3985,815076,43.4395362,64.52234957,1876346
7,"Uttar Pradesh","AKBARPUR","Devendra Singh 'Bhole'",1,"BJP","Lotus","MALE",0,64,"GENERAL","10th Pass","Rs 2,85,46,617
 ~2 Crore+","Rs 5,59,965 
~5 Lacs+",577603,3679,581282,32.91292046,56.62023333,1766121
8,"Maharashtra","AKOLA","Dhotre Sanjay Shamrao",1,"BJP","Lotus","MALE",204,60,"GENERAL","Graduate Professional","Rs 7,71,53,230
 ~ 7 Crore+","Rs 1,49,85,774
 ~ 1 Crore+",552898,1546,554444,29.72620712,49.49575293,1865169
9,"Kerala","ALAPPUZHA","Adv. A M ARIFF",1,"CPI(M)","Hammer, Sickle and Star","MALE",41,54,"GENERAL","Graduate Professional","Rs 1,52,68,906
 ~ 1 Crore+","Rs 22,20,700
 ~ 22 Lacs+",443003,2967,445970,32.87164969,40.91047525,1356701
10,"Kerala","ALATHUR","RAMYA HARIDAS",1,"INC","Hand","FEMALE",28,32,"SC","10th Pass","Rs 11,52,816
 ~ 11 Lacs+","Rs 0
 ~",532493,1322,533815,42.13905339,52.36684011,1266794
11,"Uttar Pradesh","ALIGARH","SATISH KUMAR GAUTAM",1,"BJP","Lotus","MALE",18,46,"GENERAL","10th Pass","Rs 10,95,22,559
 ~ 10 Crore+","Rs 2,80,95,176
 ~ 2 Crore+",651805,4410,656215,34.77322936,56.37828085,1887127
12,"West Bengal","ALIPURDUARS","JOHN BARLA",1,"BJP","Lotus","MALE",15,43,"ST","8th Pass","Rs 14,18,730
 ~ 14 Lacs+","Rs 0
 ~",747788,3016,750804,45.54790968,54.35976298,1648383
13,"Uttar Pradesh","ALLAHABAD","Rita Bahuguna Joshi",1,"BJP","Lotus","FEMALE",13,69,"GENERAL","Doctorate","Rs 2,69,19,330
 ~ 2 Crore+","Rs 16,00,000
 ~ 16 Lacs+",493204,1250,494454,28.81164926,55.5845464,1716160
14,"Uttarakhand","ALMORA","Ajay Tamta",1,"BJP","Lotus","MALE",12,46,"SC","12th Pass","Rs 99,10,448
 ~ 99 Lacs+","Rs 55,845
 ~ 55 Thou+",430455,14196,444651,33.23728069,63.53909006,1337808
15,"Rajasthan","ALWAR","Balak Nath",1,"BJP","Lotus","MALE",11,35,"GENERAL","10th Pass","Rs 3,52,929
 ~ 3 Lacs+","Rs 0
 ~",750580,9621,760201,40.25371136,59.93021553,1888524
16,"Andhra Pradesh","AMALAPURAM","CHINTA ANURADHA",1,"YSRCP","Ceiling Fan","FEMALE",11,46,"SC","Graduate","Rs 8,59,93,362
 ~ 8 Crore+","Rs 24,31,407
 ~ 24 Lacs+",482003,3955,485958,33.29491982,39.33710441,1459556
17,"Haryana","AMBALA","RATTAN LAL KATARIA",1,"BJP","Lotus","MALE",10,67,"SC","Post Graduate","Rs 5,43,61,499
 ~ 5 Crore+","Rs 1,88,861
 ~ 1 Lacs+",744438,2070,746508,40.27100233,56.64280587,1853711
18,"Uttar Pradesh","AMBEDKAR NAGAR","Ritesh Pandey",1,"BSP","Elephant","MALE",10,38,"GENERAL","Graduate","Rs 30,72,65,103
 ~ 30 Crore+","Rs 2,47,39,098
 ~ 2 Crore+",563445,673,564118,31.59162146,51.7247608,1785657
19,"Uttar Pradesh","AMETHI","Smriti Irani",1,"BJP","Lotus","FEMALE",9,43,"GENERAL","12th Pass","Rs 11,10,99,609
 ~ 11 Crore+","Rs 0
 ~",467598,916,468514,26.87180781,49.68566932,1743515
20,"Maharashtra","AMRAVATI","Navnit Ravi Rana",1,"IND","Spanner","FEMALE",9,33,"SC","10th Pass","Rs 12,45,54,656
 ~ 12 Crore+","Rs 7,05,76,979
 ~ 7 Crore+",507844,3103,510947,27.87352074,45.87203159,1833091
21,"Gujarat","AMRELI","Kachhadiya Naranbhai Bhikhabhai",1,"BJP","Lotus","MALE",9,64,"GENERAL","12th Pass","Rs 3,59,00,763
 ~ 3 Crore+","Rs 8,28,961
 ~ 8 Lacs+",527593,1442,529035,32.48700759,58.0436736,1628451
22,"Punjab","AMRITSAR","GURJEET SINGH AUJLA",1,"INC","Hand","MALE",9,46,"GENERAL","12th Pass","Rs 3,40,11,739
 ~ 3 Crore+","Rs 90,31,565
 ~ 90 Lacs+",444052,980,445032,29.51385228,51.71291057,1507875
23,"Uttar Pradesh","AMROHA","KUNWAR DANISH ALI",1,"BSP","Elephant","MALE",8,43,"GENERAL","Graduate","Rs 7,49,20,879
 ~ 7 Crore+","Rs 1,95,79,691
 ~ 1 Crore+",600744,338,601082,36.50809173,51.38533401,1646435
24,"Andhra Pradesh","ANAKAPALLI","Dr.Beesetti Venkata Satyavathi",1,"YSRCP","Ceiling Fan","FEMALE",8,52,"GENERAL","Graduate Professional","Rs 9,15,26,244
 ~ 9 Crore+","Rs 1,11,39,279
 ~ 1 Crore+",583210,3016,586226,38.5329471,47.25891124,1521363
25,"Gujarat","ANAND","PATEL MITESH RAMESHBHAI (BAKABHAI)",1,"BJP","Lotus","MALE",8,54,"GENERAL","Others","Rs 7,70,43,053
 ~ 7 Crore+","Rs 78,10,840
 ~ 78 Lacs+",631581,1516,633097,38.23349659,57.03144987,1655870
26,"Punjab","ANANDPUR SAHIB","Manish Tewari",1,"INC","Hand","MALE",8,53,"GENERAL","Graduate Professional","Rs 15,46,37,860
 ~ 15 Crore+","Rs 0
 ~",426904,1141,428045,25.1957765,39.55965857,1698876
27,"Andhra Pradesh","ANANTAPUR","TALARI RANGAIAH",1,"YSRCP","Ceiling Fan","MALE",7,48,"GENERAL","Doctorate","Rs 1,17,73,091
 ~ 1 Crore+","Rs 11,35,547
 ~ 11 Lacs+",690901,4307,695208,41.77531007,51.5689326,1664160
28,"Jammu & Kashmir","ANANTNAG","HASNAIN MASOODI",1,"JKN","Plough","MALE",7,65,"GENERAL","Post Graduate","Rs 8,76,20,672
 ~ 8 Crore+","Rs 0
 ~",40032,148,40180,2.874560285,32.02486749,1397779
29,"Andaman & Nicobar Islands","ANDAMAN & NICOBAR ISLANDS","KULDEEP RAI SHARMA",1,"INC","Hand","MALE",7,52,"GENERAL","Graduate Professional","Rs 13,22,33,012
 ~ 13 Crore+","Rs 8,04,50,870
 ~ 8 Crore+",95249,59,95308,29.92674372,45.95415578,318471
30,"Uttar Pradesh","AONLA","DHARMENDRA KASHYAP",1,"BJP","Lotus","MALE",6,50,"GENERAL","10th Pass","Rs 2,17,66,502
 ~ 2 Crore+","Rs 33,24,300
 ~ 33 Lacs+",536377,1298,537675,30.11164283,51.06600614,1785605
31,"Tamil Nadu","ARAKKONAM","S. JAGATHRAKSHAKAN",1,"DMK","Rising Sun","MALE",6,71,"GENERAL","10th Pass","Rs 1,14,69,84,897
 ~ 114 Crore+","Rs 16,63,65,972
 ~ 16 Crore+",666688,5502,672190,44.81218867,56.97916102,1500016
32,"West Bengal","ARAMBAGH","APARUPA PODDAR (AFRIN ALI)",1,"AITC","Flowers and Grass","FEMALE",6,33,"SC","Post Graduate","Rs 1,25,27,597
 ~ 1 Crore+","Rs 42,44,000
 ~ 42 Lacs+",649613,316,649929,36.82889015,44.13893194,1764726
33,"Tamil Nadu","ARANI","VISHNU PRASAD M K",1,"INC","Hand","MALE",6,46,"GENERAL","Graduate Professional","Rs 23,45,64,815
 ~ 23 Crore+","Rs 3,34,09,505
 ~ 3 Crore+",613390,4370,617760,42.62912742,53.9567497,1449150
34,"Bihar","ARARIA","PRADEEP KUMAR SINGH",1,"BJP","Lotus","MALE",6,52,"GENERAL","10th Pass","Rs 50,10,577
 ~ 50 Lacs+","Rs 11,59,200
 ~ 11 Lacs+",618004,430,618434,34.25394045,52.86931039,1805439
35,"Bihar","ARRAH","R. K. Singh",1,"BJP","Lotus","MALE",6,66,"GENERAL","Graduate Professional","Rs 7,99,71,720
 ~ 7 Crore+","Rs 0
 ~",560106,6374,566480,27.11269948,52.33245632,2089353
36,"Andhra Pradesh","ARUKU","GODDETI. MADHAVI",1,"YSRCP","Ceiling Fan","FEMALE",5,26,"ST","Graduate Professional","Rs 1,41,179
 ~ 1 Lacs+","Rs 0
 ~",557561,4629,562190,38.73384511,52.13983965,1451418
37,"Arunachal Pradesh","ARUNACHAL EAST","Tapir Gao",1,"BJP","Lotus","MALE",5,54,"ST","Post Graduate","Rs 13,66,28,259
 ~ 13 Crore+","Rs 0
 ~",148567,5316,153883,45.28794425,52.03689989,339788
38,"Arunachal Pradesh","ARUNACHAL WEST","KIREN RIJIJU",1,"BJP","Lotus","MALE",5,47,"ST","Graduate Professional","Rs 1,52,79,000
 ~ 1 Crore+","Rs 0
 ~",216494,9302,225796,48.68653981,62.02385956,463775
39,"West Bengal","ASANSOL","BABUL SUPRIYO",1,"BJP","Lotus","MALE",5,48,"GENERAL","Graduate","Rs 5,92,34,826
 ~ 5 Crore+","Rs 57,22,184
 ~ 57 Lacs+",632727,651,633378,39.19745771,51.1551499,1615865
40,"Odisha","ASKA","Pramila Bisoyi",1,"BJD","Conch","FEMALE",5,70,"GENERAL","5th Pass","Rs 7,32,470
 ~ 7 Lacs+","Rs 0
 ~",552364,385,552749,35.86612551,54.51764984,1541145
41,"Kerala","ATTINGAL","Adv. ADOOR PRAKASH",1,"INC","Hand","MALE",5,63,"GENERAL","Graduate Professional","Rs 14,40,98,612
 ~ 14 Crore+","Rs 2,76,22,685
 ~ 2 Crore+",379469,1526,380995,28.20701705,37.87045946,1350710
42,"Bihar","AURANGABAD","SUSHIL KUMAR SINGH",1,"BJP","Lotus","MALE",5,53,"GENERAL","Post Graduate","Rs 16,78,95,109
 ~ 16 Crore+","Rs 37,46,607
 ~ 37 Lacs+",426116,1605,427721,24.54100476,45.72262683,1742883
43,"Maharashtra","AURANGABAD","Imtiaz Jaleel Syed",1,"AIMIM","Kite","MALE",5,50,"GENERAL","Post Graduate","Rs 2,95,62,768
 ~ 2 Crore+","Rs 68,00,000
 ~ 68 Lacs+",388784,258,389042,20.62478397,32.45459558,1886284
44,"Bihar","AURANGABAD","NARESH YADAV",1,"BSP","Elephant","MALE",5,34,"GENERAL","Literate","Rs 1,26,74,177
 ~ 1 Crore+","Rs 8,24,000
 ~ 8 Lacs+",33697,75,33772,1.937708957,3.610167734,1742883
45,"Assam","AUTONOMOUS DISTRICT","HOREN SING BEY",1,"BJP","Lotus","MALE",4,49,"ST","Graduate","Rs 2,06,93,570
 ~ 2 Crore+","Rs 59,56,209
 ~ 59 Lacs+",380183,1133,381316,47.90733028,61.71579878,795945
46,"Uttar Pradesh","AZAMGARH","Akhilesh Yadav",1,"SP","Bicycle","MALE",4,45,"GENERAL","Graduate Professional","Rs 37,78,59,166
 ~ 37 Crore+","Rs 28,53,000
 ~ 28 Lacs+",619594,1984,621578,34.74117579,60.3593333,1789168
47,"Karnataka","BAGALKOT","Gaddigoudar Parvatagouda Chandanagouda",1,"BJP","Lotus","MALE",4,68,"GENERAL","Graduate Professional","Rs 4,39,80,663
 ~ 4 Crore+","Rs 79,87,991
 ~ 79 Lacs+",661662,2976,664638,39.00434857,55.17032428,1704010
48,"Uttar Pradesh","BAGHPAT","Dr. SATYAPAL SINGH",1,"BJP","Lotus","MALE",4,63,"GENERAL","Post Graduate","Rs 7,81,95,793
 ~ 7 Crore+","Rs 0
 ~",519631,6158,525789,32.52686709,50.28552793,1616476
49,"West Bengal","BAHARAMPUR","ADHIR RANJAN CHOWDHURY",1,"INC","Hand","MALE",4,63,"GENERAL","10th Pass","Rs 10,13,15,437
 ~ 10 Crore+","Rs 85,06,984
 ~ 85 Lacs+",589580,1526,591106,36.07873153,45.43359008,1638378
50,"Uttar Pradesh","BAHRAICH","AKSHAIBAR LAL",1,"BJP","Lotus","MALE",4,73,"SC","10th Pass","Rs 4,56,91,463
 ~ 4 Crore+","Rs 30,28,133
 ~ 30 Lacs+",525512,470,525982,30.40520074,53.1218218,1729908
51,"Madhya Pradesh","BALAGHAT","DR DHAL SINGH BISEN",1,"BJP","Lotus","MALE",4,66,"GENERAL","Others","Rs 8,86,48,133
 ~ 8 Crore+","Rs 15,30,693
 ~ 15 Lacs+",692859,3243,696102,39.3784101,50.70931647,1767725
52,"Odisha","BALASORE","PRATAP CHANDRA SARANGI",1,"BJP","Lotus","MALE",4,64,"GENERAL","Graduate","Rs 13,46,236
 ~ 13 Lacs+","Rs 160
 ~ 1 Hund+",481438,2420,483858,31.58793587,41.73510271,1531781
53,"Uttar Pradesh","BALLIA","Virendra Singh",1,"BJP","Lotus","MALE",4,62,"GENERAL","Graduate","Rs 2,44,98,319
 ~ 2 Crore+","Rs 0
 ~",464039,5075,469114,25.73837185,47.357938,1822625
54,"West Bengal","BALURGHAT","Sukanta Majumdar",1,"BJP","Lotus","MALE",4,39,"GENERAL","Doctorate","Rs 58,25,866
 ~ 58 Lacs+","Rs 21,68,170
 ~ 21 Lacs+",537577,1740,539317,37.66958813,45.00920936,1431704
55,"Gujarat","BANASKANTHA","PARBATBHAI SAVABHAI PATEL",1,"BJP","Lotus","MALE",4,70,"GENERAL","Graduate Professional","Rs 4,18,19,177
 ~ 4 Crore+","Rs 45,00,000
 ~ 45 Lacs+",675650,3458,679108,40.00909635,61.52795181,1697384
56,"Uttar Pradesh","BANDA","R.K. SINGH PATEL",1,"BJP","Lotus","MALE",4,59,"GENERAL","Graduate","Rs 5,57,94,086
 ~ 5 Crore+","Rs 0
 ~",477100,826,477926,28.07986256,46.18035157,1702024
57,"Karnataka","BANGALORE CENTRAL","P. C. Mohan",1,"BJP","Lotus","MALE",4,55,"GENERAL","12th Pass","Rs 75,55,29,306
 ~ 75 Crore+","Rs 31,25,21,957
 ~ 31 Crore+",601170,1683,602853,27.34254135,50.33477027,2204817
58,"Karnataka","BANGALORE NORTH","D.V. Sadananda Gowda",1,"BJP","Lotus","MALE",4,66,"GENERAL","Graduate Professional","Rs 20,93,84,539
 ~ 20 Crore+","Rs 10,43,02,653
 ~ 10 Crore+",821934,2566,824500,28.93743968,52.84158931,2849250
59,"Karnataka","BANGALORE RURAL","D.K. SURESH",1,"INC","Hand","MALE",3,52,"GENERAL","12th Pass","Rs 3,38,89,20,717
 ~ 338 Crore+","Rs 51,93,20,305
 ~ 51 Crore+",877712,546,878258,35.16607687,54.11911581,2497458
60,"Karnataka","BANGALORE SOUTH","TEJASVI SURYA",1,"BJP","Lotus","MALE",3,28,"GENERAL","Graduate Professional","Rs 13,46,593
 ~ 13 Lacs+","Rs 0
 ~",736605,2624,739229,33.36640353,62.1379944,2215489
61,"West Bengal","BANGAON","SHANTANU THAKUR",1,"BJP","Lotus","MALE",3,37,"SC","Graduate","Rs 52,65,388
 ~ 52 Lacs+","Rs 0
 ~",685237,2385,687622,40.33844255,48.81415082,1704632
62,"Bihar","BANKA","GIRIDHARI YADAV",1,"JD(U)","Arrow","MALE",3,58,"GENERAL","Post Graduate","Rs 1,98,16,050
 ~ 1 Crore+","Rs 4,05,701
 ~ 4 Lacs+",476948,840,477788,28.11519871,47.97742655,1699394
63,"West Bengal","BANKURA","DR. SUBHAS SARKAR",1,"BJP","Lotus","MALE",3,65,"GENERAL","Graduate Professional","Rs 1,97,99,440
 ~ 1 Crore+","Rs 32,61,495
 ~ 32 Lacs+",672202,3117,675319,40.95557903,49.19837249,1648906
64,"Uttar Pradesh","BANSGAON","Kamlesh Paswan",1,"BJP","Lotus","MALE",3,42,"SC","Graduate","Rs 17,17,06,883
 ~ 17 Crore+","Rs 60,49,264
 ~ 60 Lacs+",544434,2239,546673,31.21601729,56.37065199,1751258
65,"Rajasthan","BANSWARA","KANAKMAL KATARA",1,"BJP","Lotus","MALE",3,62,"ST","Graduate Professional","Rs 5,87,11,904
 ~ 5 Crore+","Rs 17,46,729
 ~ 17 Lacs+",710684,1025,711709,36.02918545,49.42049525,1975368
66,"Andhra Pradesh","BAPATLA","NANDIGAM SURESH",1,"YSRCP","Ceiling Fan","MALE",3,42,"SC","8th Pass","Rs 41,58,610
 ~ 41 Lacs+","Rs 2,69,000
 ~ 2 Lacs+",592250,6007,598257,40.73458249,47.10692458,1468671
67,"Uttar Pradesh","BARABANKI","Upendra Singh Rawat",1,"BJP","Lotus","MALE",3,51,"SC","Post Graduate","Rs 1,80,50,127
 ~ 1 Crore+","Rs 31,71,774
 ~ 31 Lacs+",535594,323,535917,29.49736629,46.37131525,1816830
68,"Maharashtra","BARAMATI","Supriya Sule",1,"NCP","Clock","FEMALE",3,49,"GENERAL","Graduate","Rs 1,40,88,88,704
 ~ 140 Crore+","Rs 55,00,000
 ~ 55 Lacs+",683705,3009,686714,32.47392138,52.52845903,2114663
69,"Jammu & Kashmir","BARAMULLA","MOHAMMAD AKBAR LONE",1,"JKN","Plough","MALE",3,71,"GENERAL","Graduate Professional","Rs 59,74,34,000
 ~ 59 Crore+","Rs 1,04,935
 ~ 1 Lacs+",132969,457,133426,10.12538153,29.26015189,1317738
70,"West Bengal","BARASAT","Dr. Kakoli Ghoshdastidar",1,"AITC","Flowers and Grass","FEMALE",3,60,"GENERAL","Post Graduate","Rs 4,05,31,018
 ~ 4 Crore+","Rs 14,96,059
 ~ 14 Lacs+",647819,625,648444,37.73858549,46.44368906,1718252
71,"West Bengal","BARDHAMAN DURGAPUR","S.S AHLUWALIA",1,"BJP","Lotus","MALE",3,67,"GENERAL","Graduate Professional","Rs 2,65,21,750
 ~ 2 Crore+","Rs 7,44,076
 ~ 7 Lacs+",597450,926,598376,34.51682013,41.75136706,1733578
72,"West Bengal","BARDHAMAN PURBA","SUNIL KUMAR MONDAL",1,"AITC","Flowers and Grass","MALE",3,61,"SC","Graduate Professional","Rs 2,03,71,283
 ~ 2 Crore+","Rs 1,48,598
 ~ 1 Lacs+",640490,344,640834,37.73854021,44.51463355,1698089
73,"Gujarat","BARDOLI","PARBHUBHAI NAGARBHAI VASAVA",1,"BJP","Lotus","MALE",3,49,"ST","Others","Rs 2,83,50,217
 ~ 2 Crore+","Rs 36,76,869
 ~ 36 Lacs+",740448,1825,742273,40.63851267,54.99764753,1826526
74,"Uttar Pradesh","BAREILLY","SANTOSH KUMAR GANGWAR",1,"BJP","Lotus","MALE",3,70,"GENERAL","Graduate Professional","Rs 12,63,56,142
 ~ 12 Crore+","Rs 1,30,55,209
 ~ 1 Crore+",563533,1737,565270,31.44485455,52.88056758,1797655
75,"Odisha","BARGARH","Suresh Pujari",1,"BJP","Lotus","MALE",3,59,"GENERAL","Post Graduate","Rs 1,16,73,429
 ~ 1 Crore+","Rs 0
 ~",577074,4171,581245,36.41224339,46.4595333,1596290
76,"Rajasthan","BARMER","KAILASH CHOUDHARY",1,"BJP","Lotus","MALE",3,45,"GENERAL","Graduate","Rs 24,02,250
 ~ 24 Lacs+","Rs 0
 ~",844104,2422,846526,43.60769017,59.49405253,1941231
77,"Assam","BARPETA","Abdul Khaleque",1,"INC","Hand","MALE",3,44,"GENERAL","Post Graduate","Rs 73,98,753
 ~ 73 Lacs+","Rs 27,03,693
 ~ 27 Lacs+",643441,1732,645173,38.2858133,44.22603934,1685149
78,"West Bengal","BARRACKPORE","ARJUN SINGH",1,"BJP","Lotus","MALE",3,57,"GENERAL","10th Pass","Rs 80,55,691
 ~ 80 Lacs+","Rs 11,00,000
 ~ 11 Lacs+",471490,1504,472994,32.92841772,42.81655003,1436431
79,"West Bengal","BASIRHAT","Nusrat Jahan Ruhi",1,"AITC","Flowers and Grass","FEMALE",3,28,"GENERAL","12th Pass","Rs 2,90,88,391
 ~ 2 Crore+","Rs 1,68,81,608
 ~ 1 Crore+",781920,158,782078,46.59783348,54.54700164,1678357
80,"Chhattisgarh","BASTAR","DEEPAK BAIJ",1,"INC","Hand","MALE",3,38,"ST","Post Graduate","Rs 77,21,293
 ~ 77 Lacs+","Rs 18,01,236
 ~ 18 Lacs+",401539,988,402527,29.18719301,44.05167215,1379122
81,"Uttar Pradesh","BASTI","HARISH CHANDRA ALIAS HARISH DWIVEDI",1,"BJP","Lotus","MALE",3,45,"GENERAL","Post Graduate","Rs 86,62,344
 ~ 86 Lacs+","Rs 3,22,490
 ~ 3 Lacs+",469214,1948,471162,25.53414953,44.65139817,1845223
82,"Punjab","BATHINDA","Harsimrat Kaur Badal",1,"SAD","Scales","FEMALE",3,52,"GENERAL","10th Pass","Rs 2,17,99,19,870
 ~ 217 Crore+","Rs 95,48,52,600
 ~ 95 Crore+",490811,2013,492824,30.38988796,40.98011547,1621671
83,"Maharashtra","BEED","Pritam Gopinathrao Munde",1,"BJP","Lotus","FEMALE",2,36,"GENERAL","Post Graduate","Rs 46,54,000
 ~ 46 Lacs+","Rs 16,22,000
 ~ 16 Lacs+",675841,2334,678175,33.15602533,50.1074298,2045405
84,"Bihar","BEGUSARAI","Giriraj Singh",1,"BJP","Lotus","MALE",2,66,"GENERAL","Graduate","Rs 8,30,24,577
 ~ 8 Crore+","Rs 1,22,36,000
 ~ 1 Crore+",687577,4616,692193,35.34514717,56.43630713,1958382
85,"Karnataka","BELGAUM","ANGADI SURESH CHANNABASAPPA",1,"BJP","Lotus","MALE",2,63,"GENERAL","Graduate Professional","Rs 36,61,64,525
 ~ 36 Crore+","Rs 19,84,79,638
 ~ 19 Crore+",756986,5005,761991,42.82412117,63.12355961,1779350
86,"Karnataka","BELLARY","Y. DEVENDRAPPA",1,"BJP","Lotus","MALE",2,67,"ST","5th Pass","Rs 4,01,07,878
 ~ 4 Crore+","Rs 2,50,000
 ~ 2 Lacs+",614274,2114,616388,35.18730584,50.4415357,1751734
87,"Odisha","BERHAMPUR","CHANDRA SEKHAR SAHU",1,"BJD","Conch","MALE",2,68,"GENERAL","10th Pass","Rs 1,17,16,989
 ~ 1 Crore+","Rs 0
 ~",443145,698,443843,29.54118426,44.82868677,1502455
88,"Madhya Pradesh","BETUL","DURGA DAS (D.D.) UIKEY",1,"BJP","Lotus","MALE",2,55,"ST","Post Graduate","Rs 1,54,13,532
 ~ 1 Crore+","Rs 8,75,803
 ~ 8 Lacs+",810237,1011,811248,46.69222539,59.72366189,1737437
89,"Uttar Pradesh","BHADOHI","RAMESH CHAND",1,"BJP","Lotus","MALE",2,44,"GENERAL","10th Pass","Rs 9,40,89,148
 ~ 9 Crore+","Rs 2,16,96,413
 ~ 2 Crore+",508989,1040,510029,26.25612994,49.04771109,1942514
90,"Odisha","BHADRAK","MANJULATA MANDAL",1,"BJD","Conch","FEMALE",2,42,"SC","Graduate","Rs 3,94,17,891
 ~ 3 Crore+","Rs 89,58,149
 ~ 89 Lacs+",511772,1273,513045,30.87543127,41.77734385,1661661
91,"Bihar","BHAGALPUR","AJAY KUMAR MANDAL",1,"JD(U)","Arrow","MALE",2,41,"GENERAL","8th Pass","Rs 68,01,126
 ~ 68 Lacs+","Rs 53,64,747
 ~ 53 Lacs+",616724,1530,618254,33.89884967,59.26616832,1823820
92,"Maharashtra","BHANDARA - GONDIYA","Sunil Baburao Mendhe",1,"BJP","Lotus","MALE",2,50,"GENERAL","Others","Rs 62,75,43,615
 ~ 62 Crore+","Rs 1,98,61,338
 ~ 1 Crore+",646152,4091,650243,35.89417054,52.16370394,1811556
93,"Rajasthan","BHARATPUR","RANJEETA KOLI",1,"BJP","Lotus","FEMALE",2,39,"SC","8th Pass","Rs 31,17,190
 ~ 31 Lacs+","Rs 0
 ~",701293,6699,707992,36.42320122,61.61965794,1943794
94,"Gujarat","BHARUCH","Mansukhbhai Dhanjibhai Vasava",1,"BJP","Lotus","MALE",2,61,"ST","Post Graduate","Rs 68,35,957
 ~ 68 Lacs+","Rs 0
 ~",635374,2421,637795,40.76620354,55.42871992,1564519
95,"Gujarat","BHAVNAGAR","DR.BHARATIBEN DHIRUBHAI SHIYAL",1,"BJP","Lotus","FEMALE",2,55,"GENERAL","Graduate Professional","Rs 1,77,53,161
 ~ 1 Crore+","Rs 36,89,036
 ~ 36 Lacs+",655272,6001,661273,37.39603698,63.32564674,1768297
96,"Rajasthan","BHILWARA","SUBHASH CHANDRA BAHERIA",1,"BJP","Lotus","MALE",2,62,"GENERAL","Graduate","Rs 23,27,03,276
 ~ 23 Crore+","Rs 18,27,380
 ~ 18 Lacs+",936065,2095,938160,46.97075293,71.5600403,1997328
97,"Madhya Pradesh","BHIND","SANDHYA RAY",1,"BJP","Lotus","FEMALE",2,45,"SC","Post Graduate","Rs 5,11,08,660
 ~ 5 Crore+","Rs 1,34,00,000
 ~ 1 Crore+",522990,4704,527694,29.89202043,54.81299281,1765334
98,"Maharashtra","BHIWANDI","KAPIL MORESHWAR PATIL",1,"BJP","Lotus","MALE",2,58,"GENERAL","Graduate","Rs 41,88,50,781
 ~ 41 Crore+","Rs 56,45,459
 ~ 56 Lacs+",522032,1551,523583,27.70133855,52.06646745,1890100
99,"Haryana","BHIWANI-MAHENDRAGARH","Dharambir Singh S/o Bhale Ram",1,"BJP","Lotus","MALE",2,64,"GENERAL","Graduate","Rs 6,06,42,205
 ~ 6 Crore+","Rs 2,40,000
 ~ 2 Lacs+",725725,10974,736699,44.53191257,63.18682638,1654317
100,"Telangana","BHONGIR","Komati Reddy Venkat Reddy",1,"INC","Hand","MALE",2,55,"GENERAL","12th Pass","Rs 16,25,43,845
 ~ 16 Crore+","Rs 2,40,69,129
 ~ 2 Crore+",532031,764,532795,32.72630223,43.93181929,1628033
101,"Madhya Pradesh","BHOPAL","SADHVI PRAGYA SINGH THAKUR",1,"BJP","Lotus","FEMALE",2,49,"GENERAL","Post Graduate","Rs 4,44,224
 ~ 4 Lacs+","Rs 0
 ~",865212,1270,866482,40.43575388,61.51068846,2142861
102,"Odisha","BHUBANESWAR","APARAJITA SARANGI",1,"BJP","Lotus","FEMALE",2,49,"GENERAL","Graduate","Rs 3,16,77,600
 ~ 3 Crore+","Rs 43,29,959
 ~ 43 Lacs+",485793,1198,486991,28.65195643,48.42674797,1699678
